OBJECTID,BASKET_TYPE,SOURCE_PDF,PAGE_X,PAGE_Y,SECTION,YEAR,POINT_X,POINT_Y
1,R,MN091_2017-03-14,604.6451021514367,351.8391036033281,MN091,2017-03-14,993915.6943,233278.9421
2,R,MN091_2017-03-14,634.9157478855341,349.9667109508009,MN091,2017-03-14,994106.0457,233264.7271
3,S,MN091_2017-03-14,636.4972518546274,411.7119575449615,MN091,2017-03-14,994115.3151,233652.1905
4,S,MN091_2017-03-14,672.7738743898808,168.19104943081038,MN091,2017-03-14,994346.0663,232120.5969
5,S,MN091_2017-03-14,724.8055952074355,265.6406040843576,MN091,2017-03-14,994672.1583,232728.0825
6,S,MN091_2017-03-14,749.9881352705997,270.42689333704766,MN091,2017-03-14,994830.4443,232756.0793
7,S,MN091_2017-03-14,684.0812967141974,440.32270086935023,MN091,2017-03-14,994414.1923,233827.9177
8,S,MN091_2017-03-14,669.6384055152885,561.3764849764702,MN091,2017-03-14,994322.0603,234588.9781
9,S,MN091_2017-03-14,893.435660501942,389.29012071649777,MN091,2017-03-14,995731.0883,233490.5511
10,S,MN091_2017-03-14,906.0321453774814,552.5448391177197,MN091,2017-03-14,995808.5085,234514.3195
11,S,MN091_2017-03-14,928.2781423552078,464.5403776129242,MN091,2017-03-14,995949.3419,233960.0847
12,S,MN091_2017-03-14,909.5112666094792,599.4213790663634,MN091,2017-03-14,995829.8715,234808.2931
13,S,MN091_2017-03-14,513.7210165071883,207.8816955392249,MN091,2017-03-14,993345.5713,232382.6771
14,S,MN091_2017-03-14,535.7717791021569,227.33154006209224,MN091,2017-03-14,993484.0059,232502.9755
15,R,MN091_2017-03-14,560.2398269494297,213.30144184833625,MN091,2017-03-14,993638.0043,232412.9163
16,S,MN091_2017-03-14,652.7917056271108,133.47138008242473,MN091,2017-03-14,994220.8049,231904.2777
17,S,MN091_2017-03-14,688.2181914098328,158.28917403734522,MN091,2017-03-14,994443.2829,232057.1849
18,R,MN091_2017-03-14,657.6019011307508,389.55232775816694,MN091,2017-03-14,994248.2547,233511.3717
19,S,MN091_2017-03-14,742.0891115192208,255.91779119800776,MN091,2017-03-14,994780.9357,232665.6449
