Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
42197161,04/11/2019 11:04:00 AM,04/13/2019 12:00:00 PM,DSNY,BCC - Brooklyn South,Overflowing Recycling Baskets,6R Overflowing Recycling Baskets,Sidewalk,11215,,,,,7 AVENUE,1 STREET,INTERSECTION,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,04/13/2019 12:00:00 PM,06 BROOKLYN,,BROOKLYN,990475,184001,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67171479821702,-73.97755935688785,"(40.67171479821702, -73.97755935688785)"
41975650,03/15/2019 03:14:00 PM,03/16/2019 12:00:00 PM,DSNY,BCC - Staten Island,Overflowing Recycling Baskets,6R Overflowing Recycling Baskets,Sidewalk,10314,,,,,JULES DRIVE,GOETHALS ROAD NORTH,INTERSECTION,STATEN ISLAND,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,03/16/2019 12:00:00 PM,01 STATEN ISLAND,,STATEN ISLAND,938559,165174,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61992311960711,-74.16458480830795,"(40.61992311960711, -74.16458480830795)"
41557587,01/29/2019 10:55:00 AM,01/31/2019 12:00:00 PM,DSNY,BCC - Brooklyn South,Overflowing Recycling Baskets,6R Overflowing Recycling Baskets,Sidewalk,,OCEANPARKWAY,OCEANPARKWAY,,,,,ADDRESS,,,DSNY Garage,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/31/2019 12:00:00 PM,07 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
41065643,11/29/2018 10:13:00 AM,11/30/2018 12:00:00 PM,DSNY,BCC - Brooklyn South,Overflowing Recycling Baskets,6R Overflowing Recycling Baskets,Sidewalk,11234,,,,,FLATBUSH AVENUE,AVENUE S,INTERSECTION,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,11/30/2018 12:00:00 PM,18 BROOKLYN,,BROOKLYN,1004739,162633,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61304272960996,-73.92620365091422,"(40.61304272960996, -73.92620365091422)"
40551348,10/15/2018 10:15:00 AM,10/17/2018 12:00:00 PM,DSNY,BCC - Brooklyn South,Overflowing Recycling Baskets,6R Overflowing Recycling Baskets,Sidewalk,,SMITH STREET,SMITH STREET,UNION STREET,4 STREET,,,BLOCKFACE,,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,10/17/2018 12:00:00 PM,06 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40483308,10/06/2018 11:44:00 PM,10/09/2018 12:00:00 PM,DSNY,Manhattan 01,Overflowing Recycling Baskets,6R Overflowing Recycling Baskets,Sidewalk,10006,1 LIBERTY PLAZA,LIBERTY PLAZA,,,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,10/09/2018 12:00:00 PM,01 MANHATTAN,1000627501,MANHATTAN,981172,197741,PHONE,Unspecified,MANHATTAN,,,,,,,,40.70942958518305,-74.01110222963845,"(40.70942958518305, -74.01110222963845)"
40476438,10/06/2018 01:42:00 PM,10/11/2018 12:00:00 PM,DSNY,BCC - Brooklyn North,Overflowing Recycling Baskets,6R Overflowing Recycling Baskets,Sidewalk,11238,10 GRAND ARMY PLAZA,GRAND ARMY PLAZA,PLAZA ST EAST,,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation collected the requested items.,10/11/2018 12:00:00 PM,55 BROOKLYN,3011830002,BROOKLYN,992830,184409,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6728326974985,-73.96906924545588,"(40.6728326974985, -73.96906924545588)"
40040106,08/17/2018 08:06:00 AM,08/18/2018 12:00:00 PM,DSNY,BCC - Queens West,Overflowing Recycling Baskets,6R Overflowing Recycling Baskets,Sidewalk,,,,,,ASTORIA BOULEVARD,32 STREET,INTERSECTION,,,DSNY Garage,Closed,,The Department of Sanitation removed the items.,08/18/2018 12:00:00 PM,01 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
39944376,08/07/2018 01:16:00 PM,08/13/2018 12:00:00 PM,DSNY,BCC - Brooklyn North,Overflowing Recycling Baskets,6R Overflowing Recycling Baskets,Sidewalk,11211,308 GRAHAM AVENUE,GRAHAM AVENUE,,,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",08/13/2018 12:00:00 PM,01 BROOKLYN,3027770007,BROOKLYN,999742,199040,PHONE,Unspecified,BROOKLYN,,,,,,,,40.712982003569415,-73.94411795989889,"(40.712982003569415, -73.94411795989889)"
39812357,07/22/2018 04:16:00 PM,07/23/2018 12:00:00 PM,DSNY,Manhattan 07,Overflowing Recycling Baskets,6R Overflowing Recycling Baskets,Sidewalk,10024,,,,,WEST 89 STREET,COLUMBUS AVENUE,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,07/23/2018 12:00:00 PM,07 MANHATTAN,,MANHATTAN,992346,226521,PHONE,Unspecified,MANHATTAN,,,,,,,,40.78842025637503,-73.97076338771852,"(40.78842025637503, -73.97076338771852)"
